SEGGER J-Link Remote Server V6.30c LogFile
Logging started @ 2018-02-16 01:26
TT-EE-Time    -NNNN
TT: Type
  00 TCPIP_IN
  01 TCPIP_OUT
  02 USB_IN
  03 USB_OUT
  04 JLINK
  05 SERVER
EE: Encoding
  00 Plain text
  01 Hex
04-00-00000000-0073: TB9D0000 008:520 JLINK_RTTERMINAL_Control(Cmd = JLINKARM_RTTERMINAL_CMD_START)  returns 0x00 (0000ms, 0012ms total)
04-00-00000081-0072: TB9D0000 008:601 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000083-0072: TB9D0000 008:603 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000084-0072: TB9D0000 008:604 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000085-0072: TB9D0000 008:605 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000086-0072: TB9D0000 008:606 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000087-0072: TB9D0000 008:607 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000089-0072: TB9D0000 008:609 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000090-0072: TB9D0000 008:610 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000091-0072: TB9D0000 008:611 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000093-0072: TB9D0000 008:613 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000094-0072: TB9D0000 008:614 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000095-0072: TB9D0000 008:615 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000096-0072: TB9D0000 008:616 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000098-0072: TB9D0000 008:618 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000099-0072: TB9D0000 008:619 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000100-0072: TB9D0000 008:620 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000101-0072: TB9D0000 008:621 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000103-0072: TB9D0000 008:623 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000104-0072: TB9D0000 008:624 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000105-0072: TB9D0000 008:625 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000106-0072: TB9D0000 008:626 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000107-0072: TB9D0000 008:627 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000108-0072: TB9D0000 008:628 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000109-0072: TB9D0000 008:629 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000111-0072: TB9D0000 008:631 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000112-0072: TB9D0000 008:632 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000113-0072: TB9D0000 008:633 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000115-0072: TB9D0000 008:635 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000116-0072: TB9D0000 008:636 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000117-0072: TB9D0000 008:637 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000118-0072: TB9D0000 008:638 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000119-0072: TB9D0000 008:639 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000121-0072: TB9D0000 008:641 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
04-00-00000122-0072: TB9D0000 008:642 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0014ms total)
